customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,return_rate,avg_discount,avg_rating,avg_delivery_days
CUST00001,168,6,2955.57,2,3,3,233,At Risk Customers,0.16666666666666666,0.36333333333333334,3.3333333333333335,3.5
CUST00002,35,3,1713.1,3,2,2,322,At Risk Customers,0.0,0.19000000000000003,4.333333333333333,3.3333333333333335
CUST00003,232,1,649.98,1,1,1,111,At Risk Customers,0.0,0.47,2.0,2.0
CUST00004,192,1,1604.04,1,1,2,112,At Risk Customers,0.0,0.16,2.0,5.0
CUST00005,11,6,3910.43,4,3,3,433,New Customers,0.0,0.38833333333333336,2.3333333333333335,5.166666666666667
CUST00006,55,6,3987.46,3,3,3,333,At Risk Customers,0.16666666666666666,0.36166666666666664,4.6,3.6666666666666665
CUST00007,3,2,1219.9,4,1,1,411,New Customers,0.0,0.2,3.5,1.5
CUST00008,45,6,3647.9900000000002,3,3,3,333,At Risk Customers,0.0,0.26,2.8333333333333335,3.3333333333333335
CUST00009,29,2,803.99,3,1,1,311,At Risk Customers,0.5,0.395,3.5,5.0
CUST00010,9,2,1984.18,4,1,2,412,New Customers,0.0,0.485,2.5,3.0
CUST00011,7,4,2912.49,4,2,3,423,New Customers,0.0,0.195,3.75,5.5
CUST00012,111,2,2051.63,2,1,2,212,At Risk Customers,0.0,0.29500000000000004,4.0,5.0
CUST00013,3,4,2934.52,4,2,3,423,New Customers,0.0,0.20500000000000002,4.75,5.75
CUST00014,1,13,9108.63,4,4,4,444,Champions,0.0,0.28076923076923077,3.923076923076923,4.615384615384615
CUST00015,1,5,5805.34,4,3,4,434,New Customers,0.0,0.286,4.4,3.4
CUST00016,276,1,478.02,1,1,1,111,At Risk Customers,0.0,0.22,1.0,6.0
CUST00017,347,3,1699.1399999999999,1,2,2,122,At Risk Customers,0.0,0.26666666666666666,5.0,6.333333333333333
CUST00018,172,1,329.21,2,1,1,211,At Risk Customers,0.0,0.36,4.0,6.0
CUST00019,35,3,2719.02,3,2,3,323,At Risk Customers,0.0,0.13,4.333333333333333,3.6666666666666665
CUST00020,429,3,4487.950000000001,1,2,4,124,High Value Customers,0.0,0.13,4.333333333333333,5.0
CUST00021,138,2,1059.3,2,1,1,211,At Risk Customers,0.0,0.435,4.0,5.5
CUST00022,37,2,1332.67,3,1,1,311,At Risk Customers,0.0,0.25,5.0,3.0
CUST00023,42,2,772.04,3,1,1,311,At Risk Customers,0.0,0.245,3.0,7.0
CUST00024,14,2,967.97,4,1,1,411,New Customers,0.0,0.30000000000000004,5.0,4.0
CUST00025,226,7,4868.86,1,4,4,144,Loyal Customers,0.0,0.31142857142857144,4.285714285714286,5.142857142857143
CUST00026,41,4,4521.43,3,2,4,324,High Value Customers,0.5,0.1225,3.5,4.25
